submission_id,QUD,RT,age,comments,condition,education,endTime,experiment_id,gender,languages,optionLeft,optionRight,prolific_id,question,response,startDate,startTime,timeSpent,trial_name,trial_number
8021,"<i>Context:</i><br /> Rational numbers are numbers that can be\n                  written as a ratio of two natural numbers. Ellen\n                  has written down a number on a slip of paper and\n                  asks Carl to guess which number it is. Carl thinks:\n                  <br /><br />\n\t\t\t\t  <i>Statement:</i><br /> If Ellen has written down a rational\n                  number, then the number on the slip of paper can\n                  be written as a ratio of two natural numbers.",26137,42,,DI,Higher Degree,1565707286143,63,female,English,Very unlikely,Very likely,5c85babf3cfc0d0016f526f4,<strong>How likely is this statement in the given context?</strong>,7,Tue Aug 13 2019 10:30:31 GMT-0400 (Eastern Daylight Time),1565706631024,10.91865,experiment,1
8021,"<i>Context:</i><br /> All students in class 6C have at least a B for their math test paper.\n                  <br /><br />\n\t\t\t\t  <i>Statement:</i><br /> If Ben is in class 6C, then he has at least a B for his math test paper.",10549,42,,DI,Higher Degree,1565707286143,63,female,English,Very unlikely,Very likely,5c85babf3cfc0d0016f526f4,<strong>How likely is this statement in the given context?</strong>,7,Tue Aug 13 2019 10:30:31 GMT-0400 (Eastern Daylight Time),1565706631024,10.91865,experiment,2
8021,"<i>Context:</i><br /> According to a recent report written on the\n                  authority of the Dutch government, many primary\n                  school students in the province of Friesland (where\n                  many people still mainly speak Frisian) have difficulty with spelling. Jitske is a student of a primary\n                  school somewhere in the Netherlands.\n                  <br /><br />\n\t\t\t\t  <i>Statement:</i><br /> If Jitske goes to a Frisian primary school,\n                  then she has difficulty with spelling.",28051,42,,II,Higher Degree,1565707286143,63,female,English,Very unlikely,Very likely,5c85babf3cfc0d0016f526f4,<strong>How likely is this statement in the given context?</strong>,4,Tue Aug 13 2019 10:30:31 GMT-0400 (Eastern Daylight Time),1565706631024,10.91865,experiment,3
8021,"<i>Context:</i><br /> You are employed at the incident room of a\n                  company that guards all banks and other financial\n                  institutions in the neighborhood. You were told that\n                  false alarms are not rare, and that the local bank has\n                  a particularly bad reputation in this respect: the\n                  majority of their alarms are false. Suddenly there is\n                  an alarm. You say to your colleague:\n                  <br /><br />\n\t\t\t\t  <i>Statement:</i><br /> If this alarm is from the local bank, it is\n                  false.",30757,42,,II,Higher Degree,1565707286143,63,female,English,Very unlikely,Very likely,5c85babf3cfc0d0016f526f4,<strong>How likely is this statement in the given context?</strong>,6,Tue Aug 13 2019 10:30:31 GMT-0400 (Eastern Daylight Time),1565706631024,10.91865,experiment,4
8021,"<i>Context:</i><br /> Every student that has less than a C for the\n                  exam is required to retake the exam.\n                  <br /><br />\n\t\t\t\t  <i>Statement:</i><br /> If my classmate Joan has less than a C\n                  for her exam, she is required to retake the exam.",9191,42,,DI,Higher Degree,1565707286143,63,female,English,Very unlikely,Very likely,5c85babf3cfc0d0016f526f4,<strong>How likely is this statement in the given context?</strong>,7,Tue Aug 13 2019 10:30:31 GMT-0400 (Eastern Daylight Time),1565706631024,10.91865,experiment,5
8021,"<i>Context:</i><br /> In the football competition, a won match yields three points.\n                  <br /><br />\n\t\t\t\t  <i>Statement:</i><br /> If Anderlecht is seven points ahead of Club Brugge, and there are only two \n                  matches to go in this year’s competition, then Club Brugge cannot become champion this year.",21159,42,,DI,Higher Degree,1565707286143,63,female,English,Very unlikely,Very likely,5c85babf3cfc0d0016f526f4,<strong>How likely is this statement in the given context?</strong>,7,Tue Aug 13 2019 10:30:31 GMT-0400 (Eastern Daylight Time),1565706631024,10.91865,experiment,6
8021,"<i>Context:</i><br /> The police are investigating a homicide. The\n                  body was found in a morass. The police have a prime\n                  suspect. At the suspect’s home, they are looking for\n                  his shoes. One of the detectives says:\n                  <br /><br />\n\t\t\t\t  <i>Statement:</i><br /> If we find muddy shoes, then he was at\n                  the crime scene.",17935,42,,AI,Higher Degree,1565707286143,63,female,English,Very unlikely,Very likely,5c85babf3cfc0d0016f526f4,<strong>How likely is this statement in the given context?</strong>,2,Tue Aug 13 2019 10:30:31 GMT-0400 (Eastern Daylight Time),1565706631024,10.91865,experiment,7
8021,"<i>Context:</i><br /> Students who belong to the top 10% of their\n                  class each year will be able to write a good doctoral\n                  thesis. Persons who are able to write a good doctoral\n                  thesis are eligible for an externally funded PhD\n                  position.\n                  <br /><br />\n\t\t\t\t  <i>Statement:</i><br /> If your fellow-student Stan belongs to\n                  the top 10% of his class each year, he will be eligible\n                  for an externally funded PhD position.",34115,42,,DI,Higher Degree,1565707286143,63,female,English,Very unlikely,Very likely,5c85babf3cfc0d0016f526f4,<strong>How likely is this statement in the given context?</strong>,6,Tue Aug 13 2019 10:30:31 GMT-0400 (Eastern Daylight Time),1565706631024,10.91865,experiment,8
8021,"<i>Context:</i><br /> Dick is a bit of an irregular student: sometimes he works hard, but he can also be lazy. So far\n                  he had excellent grades for most courses for which\n                  he had worked hard.\n                  <br /><br />\n\t\t\t\t  <i>Statement:</i><br /> If Dick works hard for the linguistics\n                  course, then he will get an excellent grade for it.",25857,42,,II,Higher Degree,1565707286143,63,female,English,Very unlikely,Very likely,5c85babf3cfc0d0016f526f4,<strong>How likely is this statement in the given context?</strong>,5,Tue Aug 13 2019 10:30:31 GMT-0400 (Eastern Daylight Time),1565706631024,10.91865,experiment,9
8021,"<i>Context:</i><br /> A group of friends like to go shopping. Each\n                  month they jointly visit some interesting shoe\n                  shops. Most members of the group own at least 20\n                  pairs of shoes.\n                  <br /><br />\n\t\t\t\t  <i>Statement:</i><br /> If Aline is a member of that group, she\n                  has at least 20 pairs of shoes.",22086,42,,II,Higher Degree,1565707286143,63,female,English,Very unlikely,Very likely,5c85babf3cfc0d0016f526f4,<strong>How likely is this statement in the given context?</strong>,3,Tue Aug 13 2019 10:30:31 GMT-0400 (Eastern Daylight Time),1565706631024,10.91865,experiment,10
